# drift noise B nondectime
Japan,1,4.873799,1.150841,0.705671,0.295369
Japan,1065439,4.592826,0.770477,1.834108,0.499806
Japan,11,4.602928,1.534176,1.165873,0.407587
Japan,12,4.548498,1.119821,0.589962,0.315498
Japan,13,4.933054,0.503903,1.159268,0.195008
Japan,14,4.803110,0.917917,0.553958,0.323410
Japan,1445649,5.0, min,1.111009,0.5, min,0.321833
Japan,2,4.312247,0.717890,0.695544,0.349759
Japan,2988716,4.048261,0.963816,0.570864,0.332573
Japan,3,5.0, min,0.878597,0.5, min,0.321755
Japan,3349397,4.964605,1.069131,0.584729,0.385077
Japan,3579473,4.889168,0.640801,0.524941,0.300127
Japan,367640,4.545453,0.550333,0.939787,0.310239
Japan,3811713,4.863284,0.523902,1.609305,0.143854
Japan,4014495,4.910771,0.696036,0.942490,0.242464
Japan,5,3.239925,0.919734,0.613734,0.324122
Japan,6,4.857912,0.540039,0.671589,0.298633
Japan,643218,4.571276,1.259055,0.552528,0.329902
Japan,7,4.955903,0.910971,0.545149,0.329405
Japan,770322M,4.501416,1.109894,0.686465,0.308254
Japan,776557,4.968124,1.156815,0.810070,0.344610
Japan,8,3.808812,0.521121,0.612964,0.285963
Japan,8731,5.0, min,0.5, min,0.833683,0.241652
Japan,9,4.181446,1.492610,1.634565,0.245264
Japan,A1975,4.716691,0.889606,0.558991,0.351031
Japan,AA0703,5.0, min,0.878906,0.5, min,0.275274
Japan,AA234,4.750118,0.582485,0.560760,0.324095
Japan,AK299,4.483271,1.139090,0.650733,0.305034
Japan,AM803,4.628843,0.507107,1.415451,0.216471
Japan,AW524,4.196927,0.975264,0.729575,0.313516
Japan,AY531,5.0, min,0.5, min,0.885169,0.268047
Japan,BD358,4.733095,0.946997,0.539412,0.341217
Japan,BOSS6,3.604937,1.402263,0.822581,0.266497
Japan,CA999,4.982402,0.5, min,1.133177,0.211944
Japan,ccc165,4.931983,1.412571,1.459600,0.226777
Japan,CH279,5.0, min,0.759492,0.5, min,0.303878
Japan,cwu8141,2.878148,1.180723,1.110485,0.270502
Japan,DIO310,5.0, min,1.200558,0.5, min,0.315976
Japan,DNF38,4.856180,0.823371,0.519085,0.313246
Japan,dr523474,4.483020,1.808488,1.008699,0.291736
Japan,FA727,4.958640,0.562723,0.835975,0.278517
Japan,FFG345,4.945391,0.926292,0.500672,0.289671
Japan,frisk139,4.898563,0.648811,1.492196,0.253905
Japan,fw94,4.544388,1.342858,0.641481,0.385191
