,Country,ID,ACC,RT
0,Scotland,59d7860ccfaf74000161142b,1,570.29
1,Scotland,59d7860ccfaf74000161142b,1,451.505
2,Scotland,59d7860ccfaf74000161142b,1,433.285
3,Scotland,59d7860ccfaf74000161142b,1,518.07
4,Scotland,59d7860ccfaf74000161142b,1,552.98
5,Scotland,59d7860ccfaf74000161142b,1,658.5
6,Scotland,59d7860ccfaf74000161142b,1,471.975
7,Scotland,59d7860ccfaf74000161142b,1,466.455
8,Scotland,59d7860ccfaf74000161142b,1,459.6
9,Scotland,59d7860ccfaf74000161142b,1,489.0999999
10,Scotland,59d7860ccfaf74000161142b,1,457.91
11,Scotland,59d7860ccfaf74000161142b,1,501.97
12,Scotland,59d7860ccfaf74000161142b,1,425.44
13,Scotland,59d7860ccfaf74000161142b,1,457.82
14,Scotland,59d7860ccfaf74000161142b,1,541.24
15,Scotland,59d7860ccfaf74000161142b,1,417.86
16,Scotland,59d7860ccfaf74000161142b,1,413.225
17,Scotland,59d7860ccfaf74000161142b,1,578.96
18,Scotland,59d7860ccfaf74000161142b,1,525.225
19,Scotland,59d7860ccfaf74000161142b,1,460.97
20,Scotland,59d7860ccfaf74000161142b,1,460.21
21,Scotland,59d7860ccfaf74000161142b,1,478.85
22,Scotland,59d7860ccfaf74000161142b,1,462.68
23,Scotland,59d7860ccfaf74000161142b,1,445.15
24,Scotland,59d7860ccfaf74000161142b,1,477.6
25,Scotland,59d7860ccfaf74000161142b,1,490.5
26,Scotland,59d7860ccfaf74000161142b,1,483.21
27,Scotland,59d7860ccfaf74000161142b,1,538.83
28,Scotland,59d7860ccfaf74000161142b,1,429.165
29,Scotland,59d7860ccfaf74000161142b,1,538.68
30,Scotland,59d7860ccfaf74000161142b,1,536.11
31,Scotland,59d7860ccfaf74000161142b,1,479.05
32,Scotland,59d7860ccfaf74000161142b,0,610.115
33,Scotland,59d7860ccfaf74000161142b,1,582.9
34,Scotland,59d7860ccfaf74000161142b,1,605.55
35,Scotland,59d7860ccfaf74000161142b,1,617.045
36,Scotland,59d7860ccfaf74000161142b,1,545.93
37,Scotland,59d7860ccfaf74000161142b,1,448.31
38,Scotland,59d7860ccfaf74000161142b,1,396.565
39,Scotland,59d7860ccfaf74000161142b,1,417.225
40,Scotland,59d7860ccfaf74000161142b,1,396.21
41,Scotland,59d7860ccfaf74000161142b,1,359.305
42,Scotland,59d7860ccfaf74000161142b,1,518.435
43,Scotland,59d7860ccfaf74000161142b,1,509.715
44,Scotland,59d7860ccfaf74000161142b,1,431.64
45,Scotland,59d7860ccfaf74000161142b,1,487.62
46,Scotland,59d7860ccfaf74000161142b,1,450.705
47,Scotland,59d7860ccfaf74000161142b,1,431.175
48,Scotland,59d7860ccfaf74000161142b,1,363.525
49,Scotland,59d7860ccfaf74000161142b,1,452.425
50,Scotland,59d7860ccfaf74000161142b,1,461.915
51,Scotland,59d7860ccfaf74000161142b,1,502.515
52,Scotland,59d7860ccfaf74000161142b,1,536.575
53,Scotland,59d7860ccfaf74000161142b,1,373.155
54,Scotland,59d7860ccfaf74000161142b,1,423.68
55,Scotland,59d7860ccfaf74000161142b,1,470.01
56,Scotland,59d7860ccfaf74000161142b,1,474.5
57,Scotland,59d7860ccfaf74000161142b,1,481.115
58,Scotland,59d7860ccfaf74000161142b,1,440.72
59,Scotland,59d7860ccfaf74000161142b,1,398.925
60,Scotland,59d7860ccfaf74000161142b,1,464.98
61,Scotland,59d7860ccfaf74000161142b,1,425.36
62,Scotland,59d7860ccfaf74000161142b,1,497.61
63,Scotland,59d7860ccfaf74000161142b,1,459.515
64,Scotland,59d7860ccfaf74000161142b,1,432.195
65,Scotland,59d7860ccfaf74000161142b,1,456.91
66,Scotland,59d7860ccfaf74000161142b,1,431.765
67,Scotland,59d7860ccfaf74000161142b,1,459.09
68,Scotland,59d7860ccfaf74000161142b,1,395.785
69,Scotland,59d7860ccfaf74000161142b,1,493.805
70,Scotland,59d7860ccfaf74000161142b,1,409.395
71,Scotland,59d7860ccfaf74000161142b,1,427.55
72,Scotland,59d7860ccfaf74000161142b,1,470.265
73,Scotland,59d7860ccfaf74000161142b,1,515.63
